index,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DHR,DIS,DUK,EMR,EXC,FALSE.,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,TRUE.,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WBA,WFC,WMT,XOM
-0.01286013,0.001343806,0.038528194,-0.011693111,-0.023150394,-0.014002011,-0.019962685,-0.080042759,0.024289524,-0.021233763,-0.004728536,0.030834753,0.006206676,-0.031589988,-0.039389632,-0.012885176,-0.012105914,-0.006826103,0.005364668,-0.035184958,-0.003734104,0.018527208,-0.029037963,-0.011867318,-0.023262657,-0.046388836,-0.011026224,-0.006660567,-0.040647284,-0.005456618,-0.031530942,-0.007150485,-0.015334393,-0.024070913,-0.011657908,-0.031608496,-0.004192784,-0.032113744,-0.025442536,-0.017348461,0.007204391,0.000680263,-0.004770614,-0.000723329,-0.019770554,-0.027941951,-0.011262023,-0.050016308,-0.007072232,-0.018112042,-0.026663407,0.014150575,-0.012965222,-0.003673468,-0.007355957,-0.022975612,-0.020214475,-0.012722493,-0.014746674,-0.019238386,-0.000133587,-0.012478102,-0.009598762,-0.010386622,-0.020412928,-0.015507045,-0.039616651,0.004538611,-0.023461813,-0.001391286,0.012270375,0.005473525,-0.017813161,-0.021104276,-0.000978039,-0.003120917,-0.018577589,-0.031548357,-0.003477684,-0.004821716,-0.028234403,-0.047904242,-0.016403853,-0.031389116,-0.017833944,-0.024119014,-0.013882841,-0.007732365,-0.029847007,0.016250275,0.019440321,-0.006634403,-0.018431058,-0.006666955,-0.009995069,-0.010079181,-0.01561073,-0.007077799,-0.027878586,-0.043060492
0.005480385,-0.005075067,0.0209513,-0.012084841,-0.007803211,0.000682023,0.004711953,0.149377386,-0.014555189,0.011395655,0.005668024,0.005636897,-0.006206676,0.010263275,-0.024400275,-0.033250028,0.007196683,-0.007217755,-0.006631062,-0.008432594,0.014852629,-0.006236034,0.025136404,0.01315672,0.006888672,0.060302709,0.010427926,-0.011727819,0,0.003817357,0.025871726,-0.006728295,0.015866169,-0.004631389,0.007010669,0.023617204,0.009201536,0.003160845,0.001126757,0.020852249,-0.018727921,0.004408792,0.011586923,0.011223203,-0.013753283,0.031775289,0.003526712,0.008579556,0.002362946,0.001982488,-0.004695003,0.026072972,0.000241372,0.001430145,-0.01487648,0.001851676,0.018196718,0.011562135,0.017636023,-0.008394968,0.000402093,0.011541842,-0.002015754,0.005824101,0.004011783,0.007292364,-0.018393212,-0.006122147,-0.002567368,-0.0513226,0.025419338,0.01157728,0.005289412,0.007437485,-0.002612848,0.011668583,-0.000698843,0,0.024092361,0.008685457,0.036398996,-0.035854962,-0.00744896,0.011339338,0.018703034,0.015415985,-0.010350409,-0.006983701,0.006371175,0.016592793,-0.011301568,-0.036100754,0.004162857,-0.009044932,0.01237377,0.032121437,-0.005933058,0.002920284,0.01694943,0.012493214
0.020170585,0.051801918,0.008021312,0.013835246,0.039400795,0.01835324,0.018628383,-0.034066523,0.021370008,0.03525216,0.036473252,-0.000160464,-0.128980388,0.009757871,0.01485934,0.0241873,0.026251339,0.03611138,0.019917532,0.022411814,0.021381485,0.030626819,0.014970062,0.018422785,-0.001308451,0.020381843,0.021771791,0.028925891,0.020315941,0.012203073,0.030259268,0.01083774,0.030172175,0.015216253,0.005342526,0.022002591,0.010766042,0.031779291,0.016355207,-0.012317397,0.03276472,-0.009178965,0.02606591,0.025528994,0.033778632,0.020908124,0.012757661,-0.003341219,0.009062071,0.008407247,0.03030562,0.018176972,0.016058044,0.001326444,0.013180583,0.005913027,0.016879159,0.021595025,0.004740981,0.03100425,0.01753941,0.034299486,0.039359569,0.012694984,0.014343895,0.008409414,0.032946019,0.035227789,0.01474237,-0.016053895,0.005270082,0.023112247,0.019733435,0.014501893,0.004242184,0.008307307,0.012393564,0.015583071,0.021447576,0.009074064,0.002369127,0.057773698,0.011469913,0.024972893,0.01722218,0.015611498,0.027193749,0.020014011,0.012819409,0.009387982,0.007286202,-0.014327525,0.009275231,0.021826204,0.015805008,0.025186887,0.023276939,0.020819304,0.013005051,0.032789708
-0.014934725,-0.019716116,-0.003064424,-0.009286135,-0.004804364,-0.032429154,-0.017724878,0.048318533,-0.017124621,-0.023106838,0.000251476,-0.000160876,-0.000727043,-0.00482673,-0.045256607,-0.013750142,-0.018213109,-0.036732141,-0.0232494,-0.037468802,-0.051655876,-0.013715451,-0.010580514,-0.020450156,-0.040753819,-0.096638697,-0.019115684,-0.023044843,-0.008594927,-0.016551854,-0.032235653,-0.011430255,-0.016754733,-0.005278248,-0.020595434,-0.031529854,-0.013267282,-0.011987646,-0.014105638,-0.00710751,-0.013374649,-0.001709236,-0.018902126,-0.016010269,-0.037279521,-0.00859001,-0.013793853,-0.00343467,-0.011086986,-0.003623824,-0.02291225,-0.00485083,0.002374796,-0.020183978,-0.009379736,-0.004869641,-0.008546814,-0.014075692,0.006734032,-0.03423303,-0.002901945,-0.027298362,-0.009540983,-0.014075079,0.00205725,-0.008409414,-0.024907139,-0.009608033,-0.001690239,-0.016013137,-0.002961016,-0.001054953,-0.013306136,0.000938412,-0.006861705,-0.00661417,-0.002189455,-0.006966501,-0.01024576,-0.016934751,-0.024984495,-0.025883681,0.000844355,-0.011652174,-0.00399219,-0.011540662,-0.004295906,0.001056269,-0.030935193,-0.00438366,-0.008343902,-0.01729424,-0.005353521,-0.027814914,-0.013292607,-0.000212427,-0.026701341,-0.028136068,0.012050176,-0.034410557
0.013394792,0.005515559,-0.006671949,0.012528149,0.00763691,0.001382043,0.009886209,-0.02386746,0.002278648,0.014707015,0.00788129,-0.000803531,0.001271611,0.031746175,0.02664784,0.025346847,0.012319839,0.032397444,-0.003662449,0.023736583,0.021355725,-0.000986898,0.006237336,0.011554886,0.028900003,0.033072804,-0.01523683,-0.000715293,0.023460301,-0.000319088,0.039154608,0.00354916,0.010231803,0.00583236,0.018972273,0.024728579,0.023103294,0.0097899,0.02206621,0.009583157,0.017504255,0.014266677,0.001923214,0.000231677,0.021796281,0.004017836,0.020822673,0.004168977,0.011421177,0.048394867,0.025192224,0.025999748,-0.001899454,0.020693598,0.003055019,-0.005131523,0.001429469,0.002646999,0.010266149,0.028205385,-0.001454434,0.011790727,0.003395879,0.051082372,0.009543072,0.010355242,0.020210617,0.007310373,0.00131482,-0.013099968,0.00673163,0.009804007,0.02558691,0.003953146,0.005558346,0.025184432,0.007241776,0.015763252,0.019563651,0.008795271,0.015474945,0.011062713,0.004001145,0.026594518,0.01136383,0.021815058,-0.004687031,0.039839747,-0.014463995,0.012304644,0.005102371,0.018008441,0.016745591,0.01888549,0.00194945,0.025609809,0.009231763,0.012510523,0.008630926,0.03610728
-0.012060248,-0.067964672,-0.019936523,0.007689611,-0.005575213,-0.02375797,-0.024809084,0.028573458,-0.021759377,0.000432769,-0.030223488,-0.016535782,-0.010400507,-0.093530743,0.003749427,-0.003662104,-0.062974431,0.00951169,-0.015755821,0.001480386,-0.014300707,-0.040780884,-0.000466434,-0.013216162,0.047227427,0.024037212,-0.005198637,-0.035546385,-0.012301235,0.003184748,-0.009916175,-0.005090998,-0.020463403,0.002627294,0.006475813,0.007514811,-0.000843315,0.007592179,0.012637619,-0.011010499,-0.028378846,-0.014951206,-0.018471475,-0.022338369,-0.004737434,-0.005168697,-0.015859687,-0.013385673,-0.004351643,0.009639089,-0.000701286,-0.000131818,0.000237815,-0.000407872,-0.002442899,-0.009909036,-0.006449292,-0.025494712,0.003646923,-0.005577814,-0.001323325,-0.005762168,-0.030139405,0.00530434,0,-0.02121477,0.001183203,-0.018377123,0.001594174,-0.070724779,-0.025355406,-0.011917464,-0.009124604,-0.003953146,-0.004902564,-0.000126717,0.008893759,-0.011957322,-0.020615231,0.0018663,-0.016862029,-0.007889418,0.001260259,-0.021798846,0.002257265,0.00354228,0.012818816,-0.023868714,-0.028773321,-0.000592124,-0.014406551,-0.014091133,-0.000660283,0.004092149,-0.013586451,0.016036536,-0.012540572,0.006403419,-0.000781754,-0.018554335
0.009480541,0.007146191,-0.022309397,-0.097511945,0.010924994,-0.003896821,0.003111967,-0.023754176,-0.014189179,0,0.085388692,0.032328265,-0.030542427,0.01219184,0.012644385,-0.001695191,-0.000546232,-0.009812284,-0.008952732,-0.002966626,0.046239364,0.01208716,0.011135216,-0.000184802,-0.004909549,0.048777137,0.012511976,-0.026143283,-0.013751808,-0.009050517,0.03108837,0.002608126,-0.008410878,0.014532878,0.027735191,0.023256523,-0.011885123,-0.000233962,-0.002716822,0.007472196,-0.023708542,-0.00652583,0.043292691,0.041919507,0.021494898,0.005823346,0.010362915,0.010363048,0.005352919,0.001076114,0.004198725,0.002497993,0.011339393,0.001018877,-0.062453707,-0.005790061,-0.004611711,-0.016405337,0.012415051,0.010403047,-0.021152338,0.01194835,0.144285992,0.012087294,0.011299498,-0.023502349,-0.007914412,0.016266491,0.01460261,0.035140521,0.026827179,-0.0109912,0.011959328,0.015616421,-0.010540384,0.012861156,0.010951351,0.080553981,-0.086533131,0.007430645,0.028397368,-0.01717648,0.013344999,0.004023023,0.001408462,0.004235144,-0.058046798,0.004405817,0.008629623,0.016565265,-0.008493172,0.015803023,0.001429626,0.001020349,-0.022533649,-0.000407868,-0.01076496,0.007180166,0.004213319,0.022328041
0.023891404,0.033958586,-0.01715627,0.030581867,0.023584551,0.053107794,0.031840225,0.056089525,0.029097531,0.019587984,-0.079151193,0.056459007,0.011656244,0.017805015,0.04409817,0.028565465,0.020720789,0.049209119,0.016218661,0.052802341,0.018813433,0.023977984,0.037877097,0.029140638,0.040904754,0.027498367,0.010175879,0.035442889,0.028999783,0.032620884,0.006380676,0.025479997,0.024189098,0.024603127,0.030472758,0.029514638,0.019451157,0.035699141,0.039026245,0.031061193,-0.053141148,0.021139794,0.016269975,0.01728921,0.028248681,0.028061741,0.052007462,0.020809752,0.034435446,0.020996227,0.038025036,0.024641425,0.00818796,0.018164118,0.029377906,0.020783142,0.034498483,0.064965321,0.011374875,0.03662507,0.026832042,0.019677463,0.028015554,0.024672595,0.02451666,0.029440441,0.027817583,0.05657119,0.031001263,-0.027599146,0.013148376,0.043257566,0.027360596,0.018806236,0.009556894,0.023157344,0.010610592,0.054005668,0.039361769,0.014241648,0.024655477,0.028204418,0.0131685,-0.00273388,0.014806644,0.019943472,0.029898658,0.03755842,0.007876154,0.03459882,0.033374677,0.025887583,0.023888332,0.021191259,0.071786899,0.019398407,0.026824274,0.026426068,0.032779797,0.011108053
-0.001982792,-0.009392727,-0.009332997,0.015727735,0.006987181,0.00537098,-0.003369536,-0.027651504,0.000130352,-0.013230749,-0.020985299,0.029258792,0.022182197,0.011833397,-0.012811601,-0.020078822,0.018513557,-0.006417043,-0.02179309,-0.002351317,0.007363453,0.02529592,-0.019891804,0.001793345,-0.009339627,-0.012359046,0.000860183,0.005567851,-0.013116356,0.007529391,-0.013740088,-0.007994339,-0.007016878,0.022325092,-0.010494334,0.014437209,0.010829003,-0.00429918,-0.00112212,-0.015933592,0.012571632,0.015732561,0.01210756,0.012296859,-0.01189239,0.005946021,-0.003105625,0.000320219,-0.006468414,-0.000670516,-0.010814619,-0.013542564,0.001862314,0.005285835,-0.008888711,-0.005703211,0.013858612,-0.00450263,0.006683069,-0.008621396,0.012175182,-0.008321229,0.025342292,-0.01514677,-0.002786029,0.001577666,-0.006590651,-0.006921549,0.011304573,0.024203839,0.018375783,0.000341372,0.000275523,-0.00272269,-0.010550897,-0.007002129,-0.006688296,0.025677522,0.016840646,-0.001483446,0.010313823,-0.00984041,0.019834747,0.008818433,0.003322246,0.005645207,-0.010427935,0.010899256,0.029579034,-0.001890874,0.006318955,0.015025433,0.009397828,-0.006511133,-0.001478155,0.01568629,0.004380336,-0.005790358,0.017032933,-0.020241709
-0.01808267,-0.020429132,-0.008123139,-0.014935411,-0.023418645,-0.018698491,-0.017201836,-0.072671235,-0.017433946,-0.018976008,-0.040310361,-0.032779983,-0.019195891,-0.033799364,-0.053709127,-0.034679059,-0.016805984,-0.03599634,-0.032587128,-0.049708371,-0.032911734,-0.021568054,-0.012769594,-0.022102178,-0.028078635,-0.05347686,-0.018349401,-0.058982283,-0.028073451,-0.024759174,-0.048649792,-0.018670478,-0.021565459,-0.003252041,0.007444847,0.004656088,-0.047507072,-0.016459848,-0.00067361,-0.014064946,-0.01607149,-0.015395319,0.016681882,0.01306989,-0.051079146,-0.009850114,-0.021814649,-0.015256363,-0.033655285,-0.009240379,-0.031584192,-0.013596854,-0.013108945,-0.023959084,-0.027150835,0.0030935,-0.01093223,-0.030937601,-0.005310575,-0.018422925,-0.004433806,-0.034930141,-0.004179333,-0.005799218,-0.007411516,-0.006722164,-0.048206817,-0.031754596,0.008197893,-0.028022079,-0.009705074,-0.043242478,-0.027070294,-0.008314711,-0.000994905,-0.011156524,-0.000671334,-0.00676501,-0.066347782,-0.024744096,-0.008203604,-0.04738706,-0.005425278,-0.009731822,-0.003322246,0.00656943,-0.029507845,-0.033060854,-0.074615816,-0.042337601,-0.017496146,-0.019061447,0.006463099,-0.026736345,-0.013263072,-0.016887567,-0.026192294,-0.022477258,-0.009526606,-0.022535598
