index,AAL.L,ABDN.L,ABF.L,ADM.L,AHT.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BDEV.L,BEZ.L,BKG.L,BLND.L,BME.L,BNZL.L,BP.L,BRBY.L,BT.A.L,CCH.L,CNA.L,CPG.L,CRDA.L,CRH.L,DCC.L,DGE.L,ENT.L,EXPN.L,FCIT.L,FLTR.L,FRAS.L,FRES.L,GLEN.L,GSK.L,HL.L,HLMA.L,HSBA.L,HSX.L,IAG.L,IHG.L,III.L,IMB.L,INF.L,ITRK.L,JD.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSEG.L,MNDI.L,MRO.L,NG.L,NWG.L,NXT.L,OCDO.L,PHNX.L,PRU.L,PSN.L,PSON.L,REL.L,RIO.L,RKT.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SKG.L,SMDS.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UTG.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
0.016625998,0.026091355,0.013530757,0.002661284,0.03237698,0.018770275,0.015592286,0.013941768,0.024950562,0.023936325,-0.005911452,0.011919018,0.009643203,0.021825635,0.006842779,0.040565323,0.00420513,0.001464353,0.0067949,0.005710299,0.015929713,0.018012636,0.013763269,0.020261197,0.018205978,0.006574078,0.039154751,0.010929192,0.026890238,-0.004319552,0.026386422,0.009418941,0.027740355,0.012232538,-0.014936708,0.049708706,0.017783108,0.020767475,0.018018489,0.018485561,0.014687569,0.028908972,0.012389868,0.012361871,-0.002385334,0.016694995,0.026023796,0.010152403,0.021079739,0.018454543,0.012098823,0.022751892,0.028057783,0.015074633,0.013278413,0.007988459,0.020204804,0.016768609,0.00600145,0.066212401,0.026278665,0.033592176,0.03801563,-0.010897419,0.018190125,0.014895756,0.015532377,0.016850622,0.021131064,0.015206742,-0.002089794,0.02620936,0.021391335,0.012757295,0.0196053,0.013375076,0.015462457,0.008467546,0.016973796,0.003619934,0.010574678,0.007052422,0.003877085,0.027954726,0.021968419,-0.015282174,0.027428862,0.031506881,0.011522876,0.016429788,0.015572709,0.011968955,0.018835652,0.01324525
-0.035188509,-0.077237482,-0.040010978,-0.029671906,-0.045874008,-0.03736301,-0.02679771,-0.054148392,-0.052979609,-0.018016215,-0.032131065,-0.042216086,-0.022740921,-0.035153359,-0.026535571,-0.029836052,-0.02621509,-0.02181631,-0.021101288,-0.042654817,-0.016822051,-0.034251855,-0.031423743,-0.026126353,-0.026110962,-0.032345179,-0.035737977,-0.017343107,-0.028014658,-0.009788019,-0.041654101,-0.040721572,-0.018581035,0.022788031,-0.036785816,-0.103701824,-0.023659075,-0.012729046,-0.025570466,-0.047890036,-0.040528993,-0.030743902,-0.028095745,-0.036350529,-0.023306138,-0.028549506,-0.014787595,-0.006448774,-0.034536619,-0.023965915,-0.019617516,-0.045177156,-0.026651693,-0.048891148,-0.036948031,-0.01237197,-0.029099443,-0.040884962,-0.024225163,0.022515715,-0.041182459,-0.052711777,-0.033778384,-0.040243802,-0.0260884,-0.049167181,-0.019035796,-0.021567666,-0.035156131,-0.015873365,-0.025854469,-0.03097695,-0.040491343,-0.027153171,-0.075292213,-0.059296742,-0.023146221,-0.029665614,-0.017904915,-0.022842551,-0.01745722,-0.027067452,-0.050114796,-0.050440208,-0.021003222,-0.043024121,-0.028542052,-0.03538371,-0.016501806,-0.018087786,-0.032582133,-0.04067333,-0.028743657,-0.019676198
0.017506555,0.115039849,0.032301647,0.009197928,0.023200034,0.025934316,0.05426502,0.015015093,0.021312428,0.008463475,-0.02228734,0.022271256,0.004059089,0.012444865,0.013632024,-0.004625461,0.02621509,0.01115232,0.014306388,0.04207097,0.029038752,0.029752296,0.014006897,0.001469575,-0.023974966,0.010647943,0.023596535,-0.00281927,0.027467363,-0.007679714,0.016158384,0.026193551,0.009075082,-0.015217972,0.033016278,0.144270397,0.00807028,0.024516985,-0.003797318,0.011526107,-0.001571753,0.013680035,0.013031106,0.025630074,-0.003745679,0.026062729,0.014787595,0.006448774,0.015543413,0.032026906,0.013121011,0.009369739,0.010097021,0.017677106,0.0253392,0.010924662,0.00824666,0.03291701,0.008393856,0.06182255,0.012533813,0,0.006322393,0.160539901,0.009644889,0.058179071,0.002670389,-0.019361456,0.006569262,0.003328008,-0.007758666,0.030590713,0.010050161,0.011970309,0.039113914,0.003752315,0.01747692,0.020631127,0.010196088,0.020129042,0.003791287,-0.009692494,0.02589308,0.0146728,0.007209978,0.02366764,-0.001114274,0.015765005,0.014863753,0.007713574,0.018413989,0.051912709,0.012721129,0.007712239
0.021621942,-0.08980116,0.005787609,0.015478291,0.011401339,0.033901616,0.018438582,0.007799649,0.025752478,0.020621774,0.027782312,0.024411105,0.012769045,0.011418513,0.003035231,0.004048607,0.021446355,0.011395364,0.022472972,0.030076243,0.023994153,0.04534315,0.003653577,0.014095114,0.025409616,0.009859297,0.023594955,0.015209344,0.016556217,0.001100627,0.024627445,0.016929012,0.004122487,0.059055978,-0.00075551,-0.045646152,0.016667079,0.03152889,0.028135441,0.017565343,0.005751609,0.01260159,0.022075727,0.021326838,0.026208938,0.013190887,0.018182292,0.007319271,0.019810664,0.025541081,0.017536443,0.008862742,0.032839668,0.026755917,0.019001056,0.009013084,0.017672942,-0.001524951,0.034357206,-0.021876455,0.013549536,0.0030235,0.003669835,-0.018961094,0.034308902,-0.01112624,0.007802768,0.021460648,0.015777962,0.016474804,0.010759817,0.028181544,0.008148592,0.027070823,0.052166655,0.024966677,-0.000270538,0.029619188,0.014687214,0.018843012,0.02748257,0.029306314,0.019117047,0.018318735,0.017094323,0.028429306,0.01163787,0.014493122,0.01222013,0.008743254,0.026317257,0.041480647,0.029749316,0.015247819
-0.003905923,-0.000441247,-0.015229522,0.008643561,0.010682491,-0.020408918,-0.024477654,-0.01362624,-0.017094421,0.018180323,0.006272048,-0.047781519,0.008651083,0.010425886,0.018288866,0.023389659,0.006141421,-0.000731373,0.001665144,-0.007256363,-0.002543651,-0.033919483,0.005818189,-0.004838121,0.005362122,0.019796764,0.002707957,0.009881429,-0.008651034,0,0.006926347,-0.003603609,0.03733943,-0.007134394,-0.005304931,0.028478436,0.006090012,-0.006836304,0.011645797,-0.012801637,0.00208347,0.005352424,-0.002623371,-0.000917983,0.0082603,0.001636717,0.001800318,0.034053577,-0.003274572,-0.063109842,0.000914324,-0.013962715,-0.057246392,-0.001625733,-0.024856296,-0.001436721,0.00466058,-0.042078931,-0.001469536,-0.015713782,-0.005280094,-0.018663646,0.019176582,-0.001321017,0.002526064,-0.027281399,0.015913809,0.019211477,0.001839407,0.006514668,-0.008598482,-0.008295462,0.024054474,0.004715875,0.008257064,-0.006873147,0.004053641,-0.018338796,-0.004355695,0.005319095,-0.002010002,0,-0.021414867,0,0.002351227,-0.030674314,0.012048229,0.010733482,0.022418861,0.004884733,-0.004338468,-0.049157124,-0.00273021,-0.009120764
0.005853179,0.111585456,-0.001396306,-0.001988116,0.001769388,-0.006204833,0.03994064,-0.027300055,0.002797899,-0.005645886,0.013423113,0.006304041,0.007084323,0.00258929,-0.004337245,-0.002540663,-0.002724929,0.005107476,-0.001665144,0.017972678,0.027628335,-0.005748979,0.005784533,0.002422044,0.003558639,-0.013154265,-0.00705571,0.009784852,0.01642684,-0.012174942,-0.005190437,0.001683477,0.027600545,-0.003586376,0.053987204,0.074461298,0.011010672,0.004562761,-0.001829792,0.002215275,0,-0.00178116,-0.003069404,-0.001148302,0.00097546,0.005707223,-0.010123157,0,0.007353066,-0.020272179,-0.005499398,0.002978076,0.024870437,-0.013516658,-0.027212559,0.010014461,0.001794787,0.037490001,0.001469536,-0.034473299,-0.000588287,0.014125129,0.003075138,0.017038482,-0.013547977,0.048227786,-0.005221966,-0.015026267,-0.000919005,0.004535059,-0.002594127,0.003401825,-0.000880489,0.002584402,0.017015502,-0.04178005,-0.022362775,0.003359469,-0.001270747,0.009679014,-0.005379932,0.015759596,-0.001779387,0.003843197,-0.001410103,0.029427739,0.003260995,0.001693192,0.007100609,0.000541268,0.000686072,0.012956604,0,-0.009718831
0.013258565,0.001577815,0.004738946,0.02068013,0.025023183,0.001036851,-0.006902285,0.014000648,0.016835737,0.012938147,0.008915356,-0.00657902,0.02175468,0.022166396,0.012150717,0.005636983,-0.004101078,0.016958704,0.010500019,0.017792931,-0.017492863,0.021129104,0.015737067,0.016315165,0.039186557,-0.012239965,0.015671819,0.021195633,-0.002674609,-0.063203185,0.006914613,0.00908846,0.016722543,-0.00841857,0.017131117,0.055057771,0.014378863,0.003786622,0.010929181,0.011733041,0.00828992,-0.015267395,0.020000646,0.010289265,0.02136092,0.015329177,0.003989289,0.007023585,0.001626871,0.009407599,-0.001839947,0.008460302,0.002930731,0.007804547,0.007728599,0,0.018498827,-0.020132337,0.02034957,0.039250041,-0.001178012,0.011682811,0.022268102,0.00259564,0.021923366,0.01673793,0.009282837,0.001043572,-0.007387052,-0.001293571,0.019293263,0.010137034,0.072217932,-0.005175309,0.028073711,0.000958245,0.001102752,0.016630113,-0.014891759,0.018221751,0.006720562,0.017612253,-0.012544255,0.018458537,0.01215529,0.004045349,0.025182034,0.016609732,0.005488227,0.024058815,0.020596277,0.008738698,0.01222869,0.023620161
-0.009830496,0.083688753,-0.013720064,-0.0091385,-0.008658139,-0.080906758,0.022650546,-0.010352241,-0.019633636,-0.028573363,-0.0029631,-0.018878942,0.001194873,-0.017865099,-0.010793312,-0.016435683,-0.011712229,-0.012601244,-0.008834875,0.015177984,-0.025533415,-0.025623367,-0.008553139,-0.048266865,0.005960006,-0.013839804,-0.042722859,0.004754976,-0.013752231,0.031526381,-0.006047667,-0.00908846,0.009196419,-0.023214237,0.003532328,-0.017317505,-0.015085444,-0.012167813,-0.012150826,-0.005116317,-0.001032219,-0.050103221,-0.020879552,-0.013051183,-0.003551269,-0.000801143,0.004693833,-0.015873314,-0.025932974,-0.001874162,-0.017650481,-0.0131442,-0.013179296,-0.013594396,-0.039254828,0.033083595,-0.005607371,-0.019747839,-0.022554684,-0.021490223,-0.000589407,-0.010167794,-0.01411286,0.007103748,-0.008375388,-0.009950212,-0.007158156,-0.019484645,0.005545214,0.002585798,0.005082607,-0.010137034,-0.009884555,0.001414141,0.021636926,-0.048574531,-0.056380989,0.014734171,-0.004203136,-0.025251695,0.002007312,-0.005602331,-0.025570613,-0.015722775,-0.010275543,0.031787658,-0.015462673,-0.012894707,-0.014173555,-0.012224173,-0.03603575,0.005783799,-0.010180276,-0.008570619
0.025301793,0.005602527,0.024506886,0.03226108,0.028009885,0.010061853,-0.009945056,0.018301905,0.035566687,0.031809734,0.020558927,0.041718447,0.033530181,0.028766833,0.017213761,0.009950209,0.025317966,0.017953853,0.035416424,0.020550053,0.029726382,0.0392248,0.02264789,0.022717089,0.02100029,0.018760543,0.036807225,0.025294385,0.02308204,0.002296366,0.030719455,0.016442532,0.040976681,0.027071537,0.018169572,-0.01078208,0.017172338,0.041954069,0.022364078,0.030209854,0.024490774,0.026292695,0.00962429,0.018495992,0.035487531,0.019048473,0.019265692,0.01674774,0.027556725,0.019508081,0.025903387,0.038514841,0.021462919,0.025794607,0.010619585,0.02279391,0.026207587,0.007945748,0.018951009,-0.010920816,0.01927056,0.034595413,0.032953455,0.015325815,0.033901742,0.008201471,0.017639561,0.057350434,0.022780157,0.011553141,0.0348728,0.027541688,0.027756908,0.033123865,0.015267418,0.005515036,0.063791317,0.021967103,0.019293439,0.024391336,0.019854925,0.018093644,0.024827805,0.040690973,0.027322812,0.042409355,0.033292328,0.039168873,0.019631484,0.022734004,0.039167015,-0.002309356,0.034197199,0.012578654
-0.003903151,-0.012330587,-0.000825485,0,-0.003387915,-0.006137078,-0.016441809,0.018725321,-0.011084687,0.003670311,-0.0136588,-0.017354249,-0.008504204,0.019000897,0.003726461,-0.002549132,0.0114212,0.010971471,0,-0.02462947,-0.005033901,0.019100698,0.008362404,0.001463954,-0.00333071,-0.007748682,-0.002700475,-0.007428378,0.01370233,0.068686779,-0.011834598,0.000472465,0.007949592,0.001923048,0.023272578,-0.016791919,-0.00313234,-0.016272811,-0.009609502,-0.016177198,0,0.028325259,0.020681146,-0.004762506,0.004480259,0.007830554,-0.012086861,0.005231151,-0.000811725,-0.004918877,0.009091288,-0.014061521,-0.019591707,-0.005268688,0.01658697,-0.002357145,0.003948413,-0.014348478,-0.00651926,-0.003033822,-0.010465253,-0.030440278,0.01511109,0,-0.001627412,-0.010557265,0.005917428,0.00200661,0,0.000638022,-0.002042083,-0.008849527,0.007220421,0.007264685,-0.015601997,0.007471977,-0.005483875,-0.004780731,-0.006656413,-0.007775351,-0.014854337,-0.012491313,-0.023631708,-0.007372379,0.010000187,-0.009561321,0.014448076,-0.004385976,0.014666528,0.010917715,0.006898751,0.002885925,-0.000659428,0.01266951
